SKU,MaterialName,Category,Supplier,UnitPrice,StockQty,Status,UpdatedAt
SKU-000001,Material1001,Component,Umbrella,11.37,7,Discontinued,2026-02-12
SKU-000002,Material1002,Packaging,Acme Corp,12.74,14,Pending,2026-03-23
SKU-000003,Material1003,Fixture,Umbrella,14.11,21,Backorder,2026-04-07
SKU-000004,Material1004,Consumable,Acme Corp,15.48,28,Active,2026-05-18
SKU-000005,Material1005,Raw Material,Umbrella,16.85,35,Discontinued,2026-06-02
SKU-000006,Material1006,Component,Acme Corp,18.22,42,Pending,2026-01-13
SKU-000007,Material1007,Packaging,Umbrella,19.59,49,Backorder,2026-02-24
SKU-000008,Material1008,Fixture,Acme Corp,20.96,56,Active,2026-03-08
SKU-000009,Material1009,Consumable,Umbrella,22.33,63,Discontinued,2026-04-19
SKU-000010,Material1010,Raw Material,Acme Corp,23.70,70,Pending,2026-05-03
SKU-000011,Material1011,Component,Umbrella,25.07,77,Backorder,2026-06-14
SKU-000012,Material1012,Packaging,Acme Corp,26.44,84,Active,2026-01-25
SKU-000013,Material1013,Fixture,Umbrella,27.81,91,Discontinued,2026-02-09
SKU-000014,Material1014,Consumable,Acme Corp,29.18,98,Pending,2026-03-20
SKU-000015,Material1015,Raw Material,Umbrella,30.55,105,Backorder,2026-04-04
SKU-000016,Material1016,Component,Acme Corp,31.92,112,Active,2026-05-15
SKU-000017,Material1017,Packaging,Umbrella,33.29,119,Discontinued,2026-06-26
SKU-000018,Material1018,Fixture,Acme Corp,34.66,126,Pending,2026-01-10
SKU-000019,Material1019,Consumable,Umbrella,36.03,133,Backorder,2026-02-21
SKU-000020,Material1020,Raw Material,Acme Corp,37.40,140,Active,2026-03-05
SKU-000021,Material1021,Component,Umbrella,38.77,147,Discontinued,2026-04-16
SKU-000022,Material1022,Packaging,Acme Corp,40.14,154,Pending,2026-05-27
SKU-000023,Material1023,Fixture,Umbrella,41.51,161,Backorder,2026-06-11
SKU-000024,Material1024,Consumable,Acme Corp,42.88,168,Active,2026-01-22
SKU-000025,Material1025,Raw Material,Umbrella,44.25,175,Discontinued,2026-02-06
SKU-000026,Material1026,Component,Acme Corp,45.62,182,Pending,2026-03-17
SKU-000027,Material1027,Packaging,Umbrella,46.99,189,Backorder,2026-04-01
SKU-000028,Material1028,Fixture,Acme Corp,48.36,196,Active,2026-05-12
SKU-000029,Material1029,Consumable,Umbrella,49.73,203,Discontinued,2026-06-23
SKU-000030,Material1030,Raw Material,Acme Corp,51.10,210,Pending,2026-01-07
SKU-000031,Material1031,Component,Umbrella,52.47,217,Backorder,2026-02-18
SKU-000032,Material1032,Packaging,Acme Corp,53.84,224,Active,2026-03-02
SKU-000033,Material1033,Fixture,Umbrella,55.21,231,Discontinued,2026-04-13
SKU-000034,Material1034,Consumable,Acme Corp,56.58,238,Pending,2026-05-24
