SKU,MaterialName,Category,Supplier,UnitPrice,StockQty,Status,UpdatedAt
SKU-000001,Material1001,Component,Umbrella,53.37,7,Backorder,2026-07-22
SKU-000002,Material1002,Packaging,Acme Corp,5.74,14,Active,2026-07-06
SKU-000003,Material1003,Fixture,Umbrella,7.11,21,Discontinued,2026-07-17
SKU-000004,Material1004,Consumable,Acme Corp,8.48,28,Pending,2026-07-01
SKU-000005,Material1005,Raw Material,Umbrella,9.85,35,Backorder,2026-07-12
SKU-000006,Material1006,Component,Acme Corp,11.22,42,Active,2026-07-23
SKU-000007,Material1007,Packaging,Umbrella,12.59,49,Discontinued,2026-07-07
SKU-000008,Material1008,Fixture,Acme Corp,13.96,56,Pending,2026-07-18
SKU-000009,Material1009,Consumable,Umbrella,15.33,63,Backorder,2026-07-02
SKU-000010,Material1010,Raw Material,Acme Corp,16.70,70,Active,2026-07-13
SKU-000011,Material1011,Component,Umbrella,18.07,77,Discontinued,2026-07-24
SKU-000012,Material1012,Packaging,Acme Corp,19.44,84,Pending,2026-07-08
SKU-000013,Material1013,Fixture,Umbrella,20.81,91,Backorder,2026-07-19
SKU-000014,Material1014,Consumable,Acme Corp,22.18,98,Active,2026-07-03
SKU-000015,Material1015,Raw Material,Umbrella,23.55,105,Discontinued,2026-07-14
SKU-000016,Material1016,Component,Acme Corp,24.92,112,Pending,2026-07-25
SKU-000017,Material1017,Packaging,Umbrella,26.29,119,Backorder,2026-07-09
SKU-000018,Material1018,Fixture,Acme Corp,27.66,126,Active,2026-07-20
SKU-000019,Material1019,Consumable,Umbrella,29.03,133,Discontinued,2026-07-04
SKU-000020,Material1020,Raw Material,Acme Corp,30.40,140,Pending,2026-07-15
SKU-000021,Material1021,Component,Umbrella,31.77,147,Backorder,2026-07-26
SKU-000022,Material1022,Packaging,Acme Corp,33.14,154,Active,2026-07-10
SKU-000023,Material1023,Fixture,Umbrella,34.51,161,Discontinued,2026-07-21
SKU-000024,Material1024,Consumable,Acme Corp,35.88,168,Pending,2026-07-05
SKU-000025,Material1025,Raw Material,Umbrella,37.25,175,Backorder,2026-07-16
SKU-000026,Material1026,Component,Acme Corp,38.62,182,Active,2026-07-27
SKU-000027,Material1027,Packaging,Umbrella,39.99,189,Discontinued,2026-07-11
SKU-000028,Material1028,Fixture,Acme Corp,41.36,196,Pending,2026-07-22
SKU-000029,Material1029,Consumable,Umbrella,42.73,203,Backorder,2026-07-06
SKU-000030,Material1030,Raw Material,Acme Corp,44.10,210,Active,2026-07-17
SKU-000031,Material1031,Component,Umbrella,45.47,217,Discontinued,2026-07-01
SKU-000032,Material1032,Packaging,Acme Corp,46.84,224,Pending,2026-07-12
SKU-000033,Material1033,Fixture,Umbrella,48.21,231,Backorder,2026-07-23
SKU-000034,Material1034,Consumable,Acme Corp,49.58,238,Active,2026-07-07
SKU-000035,Material1035,Raw Material,Umbrella,50.95,245,Discontinued,2026-07-18
SKU-000036,Material1036,Component,Acme Corp,52.32,252,Pending,2026-07-02
SKU-000037,Material1037,Packaging,Umbrella,53.69,259,Backorder,2026-07-13
SKU-000038,Material1038,Fixture,Acme Corp,6.06,266,Active,2026-07-24
SKU-000039,Material1039,Consumable,Umbrella,7.43,273,Discontinued,2026-07-08
SKU-000040,Material1040,Raw Material,Acme Corp,8.80,280,Pending,2026-07-19
SKU-000041,Material1041,Component,Umbrella,17.27,287,Discontinued,2026-06-20
SKU-000042,Material1042,Packaging,Acme Corp,18.64,294,Pending,2026-01-04
SKU-000043,Material1043,Fixture,Umbrella,20.01,301,Backorder,2026-02-15
SKU-000044,Material1044,Consumable,Acme Corp,21.38,308,Active,2026-03-26
SKU-000045,Material1045,Raw Material,Umbrella,22.75,315,Discontinued,2026-04-10
